customerID,Gender,Elderly,Married,Dependents,Time_as_Client,PhoneService,Internet_Service,Security_Service,Suport,StreamingTV,Contract_Type,PaymentMethod,Monthly_Payment,Total_Paid,Churn
4374-YMUSQ,M,0,No,No,34,Yes,FIBER OPTIC,Yes,Yes,Yes,One year,Credit card (automatic),116.25,3899.05,No
4513-CXYIX,F,1,Yes,No,71,Yes,FIBER OPTIC,Yes,No,No,Two year,Credit card (automatic),80.7,5676.0,No
3957-HHLMR,F,0,Yes,Yes,70,Yes,DSL,Yes,No,No,One year,Bank transfer (automatic),65.2,4543.15,No
7803-XOCCZ,F,0,Yes,Yes,52,Yes,FIBER OPTIC,Yes,Yes,No,Month-to-month,Bank transfer (automatic),84.05,4326.8,No
5736-YEJAX,M,0,No,Yes,69,Yes,DSL,Yes,Yes,Yes,Two year,Credit card (automatic),79.45,5502.55,No
5609-CEBID,F,1,No,No,20,Yes,FIBER OPTIC,No,No,No,Month-to-month,Electronic check,94.1,1782.4,Yes
8981-FJGLA,M,0,No,Yes,11,Yes,FIBER OPTIC,No,No,No,Month-to-month,Mailed check,78.0,851.8,No
7218-HKQFK,M,0,Yes,No,2,Yes,FIBER OPTIC,No,Yes,Yes,Month-to-month,Electronic check,94.2,167.5,Yes
4636-QRJKY,F,0,Yes,Yes,6,Yes,FIBER OPTIC,No,Yes,No,Month-to-month,Electronic check,80.5,502.85,Yes
1135-LMECX,F,0,No,No,1,Yes,NO,No internet service,No internet service,No internet service,Month-to-month,Mailed check,19.85,19.85,No
4332-MUOEZ,M,1,Yes,Yes,20,Yes,FIBER OPTIC,Yes,Yes,No,One year,Credit card (automatic),94.3,1818.3,No
8535-SFUTN,M,0,No,No,61,Yes,FIBER OPTIC,Yes,No,Yes,Month-to-month,Electronic check,106.45,6300.15,No
5956-VKDTT,F,1,Yes,No,5,Yes,FIBER OPTIC,No,No,No,Month-to-month,Electronic check,74.35,334.8,Yes
8677-HDZEE,F,0,No,No,56,Yes,FIBER OPTIC,No,Yes,Yes,Month-to-month,Bank transfer (automatic),105.45,5916.95,No
2475-MROZF,M,0,No,No,30,Yes,FIBER OPTIC,Yes,Yes,No,Month-to-month,Credit card (automatic),95.0,2852.4,No
9412-GHEEC,M,0,No,No,40,Yes,FIBER OPTIC,No,Yes,Yes,Month-to-month,Bank transfer (automatic),104.8,4131.95,Yes
3482-ABPKK,F,0,No,No,28,Yes,DSL,Yes,Yes,No,One year,Mailed check,54.3,1546.3,No
6705-LXORM,F,1,Yes,No,5,Yes,FIBER OPTIC,No,No,No,Month-to-month,Electronic check,70.05,302.6,No
0257-ZESQC,F,1,Yes,No,27,Yes,FIBER OPTIC,Yes,No,No,Month-to-month,Bank transfer (automatic),75.2,1929.35,Yes
7531-GQHME,M,0,No,No,12,Yes,NO,No internet service,No internet service,No internet service,Month-to-month,Credit card (automatic),20.05,265.45,No
5174-ITUMV,M,0,Yes,Yes,67,Yes,FIBER OPTIC,No,No,Yes,One year,Electronic check,105.4,6989.45,No
4109-CYRBD,M,1,Yes,No,29,Yes,DSL,No,No,No,Month-to-month,Electronic check,51.6,1442.0,No
0913-XWSCN,M,0,Yes,Yes,55,Yes,FIBER OPTIC,No,No,No,Month-to-month,Bank transfer (automatic),85.5,4713.4,No
6825-UYPFK,F,0,No,No,23,Yes,FIBER OPTIC,No,No,No,Month-to-month,Bank transfer (automatic),75.6,1758.6,Yes
8397-MVTAZ,M,0,Yes,No,34,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Electronic check,100.05,3480.0,Yes
0750-EBAIU,M,0,No,No,52,Yes,FIBER OPTIC,Yes,No,Yes,One year,Electronic check,91.25,4738.3,No
8606-CIQUL,M,1,Yes,Yes,72,Yes,FIBER OPTIC,Yes,Yes,Yes,Two year,Credit card (automatic),115.75,8399.15,No
3571-DPYUH,M,0,Yes,Yes,58,Yes,FIBER OPTIC,No,Yes,Yes,One year,Credit card (automatic),94.7,5430.35,No
7601-GNDYK,M,0,Yes,Yes,35,Yes,NO,No internet service,No internet service,No internet service,Two year,Mailed check,19.6,686.95,No
0356-OBMAC,F,1,No,No,56,Yes,FIBER OPTIC,No,Yes,Yes,Two year,Bank transfer (automatic),99.9,5706.3,No
8067-NIOYM,F,0,Yes,Yes,24,Yes,NO,No internet service,No internet service,No internet service,Two year,Credit card (automatic),21.1,490.65,No
1403-GYAFU,M,0,Yes,Yes,70,Yes,NO,No internet service,No internet service,No internet service,Two year,Credit card (automatic),20.05,1360.25,No
4234-XTNEA,M,0,No,No,2,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Electronic check,79.95,174.45,No
1297-VQDRP,M,1,Yes,Yes,68,Yes,FIBER OPTIC,No,Yes,Yes,One year,Credit card (automatic),107.15,7379.8,No
9282-IZGQK,F,0,No,No,1,Yes,FIBER OPTIC,No,No,No,Month-to-month,Electronic check,85.0,85.0,Yes
5348-CAGXB,M,0,No,No,12,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Electronic check,89.55,1021.75,No
0621-HJWXJ,F,0,Yes,No,63,Yes,FIBER OPTIC,No,No,No,Month-to-month,Bank transfer (automatic),81.55,5029.05,No
5844-QVTAT,F,0,Yes,Yes,33,Yes,DSL,Yes,No,No,One year,Mailed check,58.45,1955.4,No
8905-IAZPF,F,0,Yes,No,69,Yes,FIBER OPTIC,No,No,Yes,One year,Credit card (automatic),95.65,6744.2,No
5394-MEITZ,F,0,Yes,Yes,60,Yes,DSL,No,Yes,Yes,Two year,Bank transfer (automatic),80.6,4946.7,No
6859-QNXIQ,F,0,Yes,Yes,72,Yes,FIBER OPTIC,Yes,Yes,Yes,Two year,Bank transfer (automatic),113.1,8248.5,No
2782-LFZVW,F,0,No,No,11,Yes,DSL,No,No,No,Month-to-month,Mailed check,58.95,601.6,No
2866-IKBTM,F,0,No,No,1,Yes,NO,No internet service,No internet service,No internet service,Month-to-month,Mailed check,19.55,19.55,No
1342-JPNKI,M,0,No,No,10,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Bank transfer (automatic),86.05,834.1,Yes
2817-NTQDO,M,0,No,No,13,Yes,DSL,Yes,Yes,Yes,Month-to-month,Credit card (automatic),45.55,597.0,Yes
7129-AZJDE,M,0,Yes,Yes,34,Yes,FIBER OPTIC,No,No,No,One year,Bank transfer (automatic),78.95,2647.2,No
6986-IJDHX,M,0,Yes,Yes,39,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Mailed check,86.3,3266.0,Yes
2560-PPCHE,F,0,No,No,65,Yes,FIBER OPTIC,No,Yes,Yes,One year,Bank transfer (automatic),105.05,6744.25,No
4676-MQUEA,M,1,Yes,No,50,Yes,FIBER OPTIC,Yes,No,Yes,One year,Bank transfer (automatic),101.9,5265.5,No
8138-EALND,M,0,No,No,15,Yes,NO,No internet service,No internet service,No internet service,Month-to-month,Mailed check,19.75,311.6,No
3580-HYCSP,M,0,Yes,Yes,72,Yes,FIBER OPTIC,Yes,No,Yes,Two year,Bank transfer (automatic),110.3,7966.9,No
1352-HNSAW,F,0,Yes,Yes,72,Yes,FIBER OPTIC,Yes,Yes,Yes,Two year,Bank transfer (automatic),115.6,8220.4,No
2075-PUEPR,M,0,Yes,Yes,55,Yes,NO,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),19.35,1153.25,No
1982-FEBTD,F,0,Yes,Yes,23,Yes,NO,No internet service,No internet service,No internet service,Two year,Credit card (automatic),25.6,514.75,No
5301-GAUUY,M,0,No,No,32,Yes,FIBER OPTIC,No,No,No,Month-to-month,Bank transfer (automatic),80.35,2596.15,Yes
5791-KAJFD,F,0,Yes,Yes,56,Yes,DSL,Yes,No,No,One year,Bank transfer (automatic),68.75,3808.0,No
2654-VBVPB,F,0,No,No,1,Yes,NO,No internet service,No internet service,No internet service,Month-to-month,Bank transfer (automatic),19.9,19.9,No
1154-HYWWO,M,0,No,No,38,Yes,DSL,Yes,Yes,Yes,One year,Mailed check,70.6,2708.2,No
2501-XWWTZ,M,0,No,No,11,Yes,FIBER OPTIC,No,No,No,Month-to-month,Electronic check,70.2,760.05,No
3716-UVSPD,M,0,No,No,1,Yes,DSL,No,Yes,No,Month-to-month,Electronic check,49.3,49.3,No
6815-ABQFQ,M,0,Yes,No,56,Yes,FIBER OPTIC,No,Yes,Yes,One year,Electronic check,107.25,6033.3,No
7343-EOBEU,M,0,Yes,No,3,Yes,NO,No internet service,No internet service,No internet service,Month-to-month,Mailed check,23.6,89.05,No
3701-SFMUH,M,0,Yes,Yes,7,Yes,DSL,Yes,No,Yes,Month-to-month,Credit card (automatic),69.7,516.15,No
6103-LIANB,M,0,Yes,Yes,59,Yes,FIBER OPTIC,No,No,Yes,Two year,Credit card (automatic),99.5,5861.75,No
7319-VENRZ,M,0,No,No,7,Yes,DSL,No,Yes,Yes,Month-to-month,Bank transfer (automatic),64.3,445.95,No
5846-NEQVZ,M,0,Yes,Yes,71,Yes,DSL,Yes,Yes,No,Two year,Credit card (automatic),70.85,4973.4,No
6967-QIQRV,M,0,Yes,Yes,15,Yes,FIBER OPTIC,Yes,Yes,Yes,One year,Electronic check,101.9,1667.25,No
5781-RFZRP,M,0,Yes,No,71,Yes,DSL,Yes,Yes,Yes,Two year,Credit card (automatic),73.5,5357.75,No
0939-YAPAF,F,0,No,No,35,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Electronic check,100.25,3527.6,Yes
0308-IVGOK,F,0,No,No,11,Yes,DSL,No,Yes,No,One year,Credit card (automatic),40.4,422.6,No
7293-LSCDV,F,0,Yes,Yes,60,Yes,NO,No internet service,No internet service,No internet service,Two year,Credit card (automatic),19.25,1103.25,No
7025-WCBNE,M,1,No,No,47,Yes,DSL,No,Yes,No,Two year,Bank transfer (automatic),59.6,2754.0,No
5756-JYOJT,F,0,No,No,11,Yes,DSL,No,Yes,No,One year,Credit card (automatic),64.9,697.25,No
4710-FDUIZ,M,0,Yes,No,56,Yes,FIBER OPTIC,No,No,Yes,One year,Credit card (automatic),100.3,5614.45,Yes
6030-REHUX,F,1,Yes,No,28,Yes,FIBER OPTIC,No,Yes,Yes,Month-to-month,Electronic check,110.85,3204.4,No
9548-LIGTA,M,0,Yes,No,61,Yes,DSL,Yes,Yes,Yes,Two year,Mailed check,81.05,4747.65,No
5150-LJNSR,M,0,Yes,Yes,31,Yes,FIBER OPTIC,Yes,No,Yes,One year,Bank transfer (automatic),98.05,3082.1,No
8270-RKSAP,M,0,No,No,9,Yes,FIBER OPTIC,No,No,No,Month-to-month,Electronic check,70.5,597.9,No
6522-YRBXD,M,1,Yes,No,35,Yes,FIBER OPTIC,Yes,No,No,Month-to-month,Electronic check,94.55,3365.4,No
2640-LYMOV,M,0,No,No,2,Yes,NO,No internet service,No internet service,No internet service,Month-to-month,Mailed check,19.65,38.8,No
1218-VKFPE,F,0,Yes,Yes,12,Yes,NO,No internet service,No internet service,No internet service,Month-to-month,Mailed check,19.0,233.55,Yes
3627-FHKBK,F,0,No,No,1,Yes,FIBER OPTIC,Yes,No,No,Month-to-month,Mailed check,75.3,75.3,Yes
2865-TCHJW,F,1,No,No,4,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Electronic check,89.2,346.2,Yes
1423-BMPBQ,F,0,Yes,Yes,1,Yes,NO,No internet service,No internet service,No internet service,Month-to-month,Mailed check,19.0,19.0,No
2393-DIVAI,F,0,No,No,3,Yes,NO,No internet service,No internet service,No internet service,Month-to-month,Mailed check,20.0,61.7,No
5192-EBGOV,F,1,No,No,1,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Electronic check,85.7,85.7,Yes
4568-KNYWR,M,0,No,No,52,Yes,DSL,Yes,No,Yes,Two year,Credit card (automatic),63.25,3342.45,No
8752-IMQOS,M,0,Yes,Yes,5,Yes,NO,No internet service,No internet service,No internet service,One year,Mailed check,20.1,85.1,No
0742-LAFQK,M,0,Yes,No,72,Yes,FIBER OPTIC,Yes,No,No,Two year,Electronic check,99.15,7422.1,No
0795-LAFGP,M,0,Yes,Yes,71,Yes,DSL,Yes,Yes,Yes,Two year,Electronic check,90.4,6668.05,No
0619-OLYUR,M,0,Yes,No,72,Yes,FIBER OPTIC,Yes,Yes,Yes,Two year,Credit card (automatic),111.9,8071.05,No
5512-IDZEI,M,0,Yes,Yes,46,Yes,NO,No internet service,No internet service,No internet service,One year,Electronic check,24.9,1174.8,No
0459-SPZHJ,M,0,Yes,Yes,63,Yes,DSL,Yes,No,Yes,Two year,Credit card (automatic),83.5,5435.0,No
0215-BQKGS,M,0,No,No,30,Yes,FIBER OPTIC,Yes,No,No,Month-to-month,Credit card (automatic),84.3,2438.6,No
9244-ZVAPM,M,0,No,No,1,Yes,DSL,No,No,No,Month-to-month,Mailed check,45.6,45.6,No
0719-SYFRB,F,0,No,No,12,Yes,DSL,Yes,Yes,No,Month-to-month,Mailed check,61.65,713.75,Yes
8208-EUMTE,M,0,No,No,16,Yes,DSL,Yes,Yes,Yes,Two year,Mailed check,54.85,916.15,No
5172-MIGPM,M,0,No,No,4,Yes,DSL,No,Yes,No,Month-to-month,Mailed check,65.55,237.2,No
1710-RCXUS,M,0,Yes,No,51,Yes,FIBER OPTIC,No,No,No,One year,Credit card (automatic),90.35,4614.55,No
0374-FIUCA,M,0,Yes,No,65,Yes,NO,No internet service,No internet service,No internet service,Two year,Credit card (automatic),20.4,1414.45,No
5839-SUYVZ,M,0,No,No,16,Yes,FIBER OPTIC,No,Yes,No,Month-to-month,Credit card (automatic),74.55,1170.5,No
5173-ZXXXL,M,0,No,No,2,Yes,NO,No internet service,No internet service,No internet service,One year,Mailed check,19.95,47.7,No
1096-ADRUX,F,0,Yes,Yes,66,Yes,FIBER OPTIC,No,No,No,One year,Bank transfer (automatic),74.25,4859.25,No
2001-MCUUW,M,0,No,No,46,Yes,FIBER OPTIC,No,Yes,Yes,Two year,Electronic check,108.65,4903.2,No
2731-GJRDG,F,0,No,No,32,Yes,FIBER OPTIC,Yes,Yes,Yes,One year,Bank transfer (automatic),109.55,3608.0,No
4723-BEGSG,M,0,Yes,No,72,Yes,DSL,Yes,Yes,Yes,Two year,Credit card (automatic),86.65,6094.25,No
6516-NKQBO,M,0,Yes,Yes,38,Yes,DSL,Yes,Yes,Yes,Two year,Credit card (automatic),81.0,3084.9,No
8672-OAUPW,M,0,No,Yes,51,Yes,DSL,No,Yes,No,One year,Credit card (automatic),47.85,2356.75,No
8207-DMRVL,M,0,Yes,Yes,72,Yes,FIBER OPTIC,Yes,Yes,Yes,Two year,Bank transfer (automatic),114.55,8306.05,No
3419-SNJJD,F,1,Yes,No,65,Yes,FIBER OPTIC,Yes,No,Yes,Month-to-month,Bank transfer (automatic),105.25,6786.4,Yes
6543-CPZMK,M,0,Yes,Yes,9,Yes,DSL,No,No,No,Month-to-month,Electronic check,29.95,248.95,Yes
4765-OXPPD,F,0,Yes,Yes,9,Yes,DSL,Yes,Yes,No,Month-to-month,Mailed check,65.0,663.05,Yes
2804-ETQDK,M,0,No,Yes,66,Yes,NO,No internet service,No internet service,No internet service,Two year,Mailed check,20.55,1357.1,No
6689-VRRTK,F,1,No,No,44,Yes,FIBER OPTIC,Yes,No,Yes,One year,Credit card (automatic),109.8,4860.35,No
7138-GIRSH,M,0,No,No,50,Yes,DSL,No,Yes,No,Two year,Bank transfer (automatic),69.5,3418.2,No
9396-ZSFLL,F,0,No,No,15,Yes,DSL,No,No,No,Month-to-month,Mailed check,48.85,631.4,No
6464-KEXXH,M,0,No,No,8,Yes,DSL,No,No,No,Month-to-month,Credit card (automatic),65.61,186.3,No
7134-MJPDY,F,1,No,No,66,Yes,FIBER OPTIC,No,Yes,Yes,One year,Credit card (automatic),65.61,6976.75,No
5240-CAOYT,F,0,No,No,57,Yes,FIBER OPTIC,Yes,Yes,No,Month-to-month,Bank transfer (automatic),65.61,4884.85,No
4059-IIEBK,F,0,No,No,7,Yes,FIBER OPTIC,No,No,No,Month-to-month,Bank transfer (automatic),65.61,522.95,No
4881-JVQOD,M,1,Yes,Yes,10,Yes,DSL,No,No,No,Month-to-month,Bank transfer (automatic),65.61,362.6,No
0516-UXRMT,F,0,No,No,62,Yes,FIBER OPTIC,Yes,No,No,One year,Electronic check,65.61,5755.8,No
4851-BQDNX,M,0,Yes,Yes,40,Yes,FIBER OPTIC,No,No,Yes,One year,Electronic check,65.61,3355.65,No
5148-HKFIR,F,0,No,No,20,Yes,NO,No internet service,No internet service,No internet service,Two year,Mailed check,65.61,406.95,No
1009-IRMNA,F,0,No,No,7,Yes,NO,No internet service,No internet service,No internet service,Month-to-month,Bank transfer (automatic),65.61,137.6,Yes
3003-CMDUU,F,0,Yes,No,25,Yes,FIBER OPTIC,No,Yes,Yes,Month-to-month,Electronic check,65.61,2395.7,No
5016-IBERQ,M,0,Yes,No,23,Yes,FIBER OPTIC,No,No,No,Month-to-month,Electronic check,65.61,1968.1,No
6797-UCJHZ,F,1,Yes,No,66,Yes,FIBER OPTIC,No,No,Yes,One year,Credit card (automatic),65.61,6819.45,No
2469-DTSGX,F,1,No,No,72,Yes,FIBER OPTIC,No,Yes,Yes,Two year,Electronic check,65.61,7943.45,No
4554-YGZIH,M,1,Yes,No,49,Yes,FIBER OPTIC,No,No,No,Month-to-month,Credit card (automatic),65.61,4547.25,Yes
5099-BAILX,M,1,Yes,Yes,43,Yes,FIBER OPTIC,No,Yes,Yes,Month-to-month,Bank transfer (automatic),65.61,4687.9,Yes
9931-KGHOA,F,0,Yes,No,46,Yes,DSL,Yes,No,No,Month-to-month,Bank transfer (automatic),65.61,2473.95,No
1775-KWJKQ,M,0,Yes,Yes,72,Yes,DSL,Yes,Yes,Yes,Two year,Credit card (automatic),65.61,6562.9,No
7665-VIGUD,M,0,No,No,10,Yes,NO,No internet service,No internet service,No internet service,One year,Mailed check,65.61,176.3,No
9411-TPQQV,F,0,No,No,40,Yes,DSL,Yes,Yes,Yes,One year,Bank transfer (automatic),65.61,2236.2,No
7207-RMRDB,F,0,Yes,Yes,65,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Electronic check,65.61,6985.65,Yes
7954-MLBUN,M,0,No,No,31,Yes,FIBER OPTIC,No,Yes,Yes,Two year,Bank transfer (automatic),99.45,3109.9,No
2077-DDHJK,F,0,Yes,No,68,Yes,DSL,Yes,Yes,No,Two year,Credit card (automatic),70.9,4911.35,No
4913-EHYUI,M,1,Yes,Yes,56,Yes,FIBER OPTIC,Yes,No,Yes,One year,Bank transfer (automatic),104.55,5794.65,Yes
0195-IESCP,M,0,Yes,No,10,Yes,FIBER OPTIC,No,No,No,Month-to-month,Electronic check,85.25,855.3,Yes
9574-BOSMD,M,0,Yes,Yes,68,Yes,NO,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),25.4,1620.2,No
4580-TMHJU,F,0,Yes,Yes,43,Yes,DSL,No,No,Yes,Month-to-month,Electronic check,56.15,2499.3,Yes
0970-ETWGE,M,0,No,No,1,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Electronic check,89.55,89.55,Yes
4908-XAXAY,F,1,No,No,49,Yes,FIBER OPTIC,No,No,No,One year,Bank transfer (automatic),89.85,4287.2,No
8404-VLQFB,F,0,Yes,Yes,15,Yes,NO,No internet service,No internet service,No internet service,Month-to-month,Electronic check,25.25,394.85,No
1626-ERCMM,M,1,Yes,No,20,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Electronic check,94.55,1899.65,Yes
0887-HJGAR,M,0,No,No,1,Yes,DSL,No,No,No,Month-to-month,Mailed check,45.7,45.7,Yes
2391-IPLOP,M,0,Yes,Yes,50,Yes,DSL,No,Yes,Yes,One year,Electronic check,69.65,3442.15,No
5644-PDMZC,F,1,No,No,2,Yes,FIBER OPTIC,No,No,No,Month-to-month,Electronic check,89.5,161.5,Yes
3509-GWQGF,M,1,No,No,24,Yes,FIBER OPTIC,No,No,No,Month-to-month,Credit card (automatic),70.0,1732.6,No
9576-ANLXO,F,0,No,No,3,Yes,FIBER OPTIC,No,No,No,Month-to-month,Bank transfer (automatic),69.55,222.3,Yes
2024-BASKD,F,0,No,No,1,Yes,FIBER OPTIC,No,No,No,Month-to-month,Mailed check,74.6,74.6,Yes
5845-BZZIB,M,0,Yes,Yes,35,Yes,NO,No internet service,No internet service,No internet service,Two year,Mailed check,20.1,655.3,No
1140-UKVZG,F,0,No,No,17,Yes,NO,No internet service,No internet service,No internet service,Month-to-month,Mailed check,24.8,475.25,No
4160-AMJTL,F,1,No,No,8,Yes,NO,No internet service,No internet service,No internet service,Month-to-month,Electronic check,19.65,164.3,Yes
5183-SNMJQ,M,0,No,No,10,Yes,FIBER OPTIC,No,Yes,Yes,Month-to-month,Credit card (automatic),95.1,865.1,No
8100-PNJMH,M,0,Yes,Yes,68,Yes,DSL,Yes,Yes,Yes,Two year,Credit card (automatic),88.85,6132.7,No
7838-LAZFO,M,0,Yes,No,45,Yes,DSL,Yes,No,Yes,One year,Bank transfer (automatic),78.8,3597.5,No
4464-JCOLN,M,0,Yes,Yes,2,Yes,NO,No internet service,No internet service,No internet service,One year,Mailed check,19.85,35.9,Yes
2085-JVGAD,M,0,Yes,No,37,Yes,NO,No internet service,No internet service,No internet service,Month-to-month,Bank transfer (automatic),20.35,697.65,No
5650-VDUDS,F,0,No,No,4,Yes,DSL,No,No,No,Month-to-month,Mailed check,24.25,96.05,Yes
8095-WANWK,F,0,No,No,10,Yes,DSL,No,No,No,Month-to-month,Mailed check,45.25,428.7,No
3030-ZKIWL,M,0,No,No,1,Yes,NO,No internet service,No internet service,No internet service,Month-to-month,Mailed check,20.05,20.05,No
9565-FLVCG,M,0,Yes,Yes,65,Yes,DSL,Yes,No,No,Two year,Mailed check,69.55,4459.15,No
8755-OGKNA,F,0,Yes,Yes,57,Yes,NO,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),19.5,1167.6,No
2800-VEQXM,F,0,No,No,3,Yes,FIBER OPTIC,No,No,No,Month-to-month,Mailed check,74.75,238.1,No
7538-GWHML,F,0,No,No,2,Yes,FIBER OPTIC,No,No,No,Month-to-month,Electronic check,69.65,145.15,Yes
5533-RJFTJ,M,0,No,No,49,Yes,DSL,No,No,No,Month-to-month,Bank transfer (automatic),30.2,1453.1,No
3859-CVCET,F,0,No,No,4,Yes,DSL,No,No,No,Month-to-month,Mailed check,45.65,191.05,Yes
0214-JHPFW,F,0,Yes,No,70,Yes,DSL,No,Yes,Yes,Two year,Bank transfer (automatic),57.8,4039.3,No
5642-MHDQT,F,0,Yes,Yes,53,Yes,NO,No internet service,No internet service,No internet service,One year,Bank transfer (automatic),19.85,1039.45,No
3088-FVYWK,M,0,Yes,Yes,53,Yes,NO,No internet service,No internet service,No internet service,Two year,Credit card (automatic),25.55,1336.1,No
3276-HDUEG,F,0,No,No,1,Yes,FIBER OPTIC,No,No,No,Month-to-month,Mailed check,75.05,75.05,Yes
9092-GDZKO,M,0,No,No,22,Yes,NO,No internet service,No internet service,No internet service,Month-to-month,Credit card (automatic),24.85,493.4,No
0823-HSCDJ,M,1,No,No,52,Yes,DSL,No,No,Yes,Month-to-month,Electronic check,49.15,2550.9,Yes
3729-OWRVL,M,1,No,No,65,Yes,FIBER OPTIC,Yes,Yes,Yes,Two year,Electronic check,110.35,7246.15,No
2324-AALNO,F,0,No,No,48,Yes,NO,No internet service,No internet service,No internet service,One year,Bank transfer (automatic),24.55,1203.95,No
0822-GAVAP,F,0,No,No,2,Yes,DSL,No,No,No,Month-to-month,Electronic check,34.7,62.25,Yes
5760-IFJOZ,M,0,No,No,3,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Mailed check,107.95,313.6,No
2826-UWHIS,M,0,Yes,No,45,Yes,FIBER OPTIC,No,No,No,Month-to-month,Bank transfer (automatic),81.4,3775.85,No
1448-PWKYE,M,0,Yes,Yes,1,Yes,FIBER OPTIC,No,No,No,Month-to-month,Electronic check,80.0,80.0,Yes
7501-IWUNG,F,0,Yes,Yes,61,Yes,DSL,No,Yes,Yes,Two year,Bank transfer (automatic),65.61,4616.05,No
4957-TREIR,M,0,No,No,3,Yes,DSL,Yes,Yes,Yes,Month-to-month,Credit card (automatic),65.61,195.65,No
7251-LJBQN,F,1,No,No,40,Yes,FIBER OPTIC,No,Yes,Yes,One year,Credit card (automatic),65.61,4188.4,No
8040-MNRTF,F,0,No,No,1,Yes,FIBER OPTIC,No,No,No,Month-to-month,Mailed check,65.61,71.1,No
1536-HBSWP,F,0,No,No,1,Yes,DSL,No,Yes,No,Month-to-month,Electronic check,65.61,49.9,No
5313-FPXWG,M,0,No,No,51,Yes,NO,No internet service,No internet service,No internet service,One year,Bank transfer (automatic),65.61,1266.4,No
0067-DKWBL,M,1,No,No,2,Yes,DSL,Yes,No,No,Month-to-month,Electronic check,65.61,91.1,Yes
0946-FKYTX,M,0,No,No,52,Yes,DSL,No,No,No,One year,Mailed check,65.61,1623.4,No
5076-YVXCM,M,0,No,No,51,Yes,FIBER OPTIC,No,No,No,Month-to-month,Bank transfer (automatic),83.4,4149.45,No
8262-COGGB,M,0,No,No,1,Yes,NO,No internet service,No internet service,No internet service,Month-to-month,Mailed check,20.45,20.45,No
6663-JOCQO,M,0,Yes,Yes,31,Yes,DSL,Yes,Yes,No,One year,Bank transfer (automatic),75.25,2344.5,No
9620-QJREV,M,0,No,Yes,47,Yes,NO,No internet service,No internet service,No internet service,One year,Credit card (automatic),20.55,1013.05,No
2276-YDAVZ,F,0,No,No,3,Yes,FIBER OPTIC,No,No,No,Month-to-month,Credit card (automatic),75.1,270.7,Yes
2682-KEVRP,F,1,No,No,22,Yes,NO,No internet service,No internet service,No internet service,One year,Mailed check,20.05,417.0,No
2480-JZOSN,F,0,Yes,No,1,Yes,NO,No internet service,No internet service,No internet service,Month-to-month,Mailed check,20.65,20.65,No
0078-XZMHT,M,0,Yes,No,72,Yes,DSL,No,Yes,Yes,Two year,Bank transfer (automatic),85.15,6316.2,No
5896-NPFWW,M,0,Yes,Yes,3,Yes,DSL,No,No,No,Month-to-month,Electronic check,50.15,168.15,Yes
9978-HYCIN,M,1,Yes,Yes,47,Yes,FIBER OPTIC,No,No,Yes,One year,Bank transfer (automatic),84.95,4018.05,No
8338-QIUNR,M,0,Yes,Yes,72,Yes,DSL,Yes,Yes,No,Two year,Credit card (automatic),66.5,4811.6,No
1525-LNLOJ,M,0,Yes,Yes,66,Yes,DSL,No,No,Yes,Two year,Bank transfer (automatic),63.3,4189.7,No
9450-TRJUU,M,0,No,No,35,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Electronic check,83.15,2848.45,No
1766-GKNMI,M,0,No,No,29,Yes,FIBER OPTIC,No,No,No,Month-to-month,Electronic check,84.9,2516.2,No
6942-LBFDP,F,0,No,No,2,Yes,NO,No internet service,No internet service,No internet service,Month-to-month,Mailed check,20.55,33.6,No
1456-TWCGB,M,0,No,No,4,Yes,DSL,No,No,No,Month-to-month,Mailed check,49.25,208.45,No
7133-VBDCG,F,0,No,No,25,Yes,FIBER OPTIC,Yes,No,No,Month-to-month,Bank transfer (automatic),79.85,2015.35,Yes
7596-ZYWBB,F,0,No,No,65,Yes,DSL,Yes,Yes,No,Two year,Mailed check,59.6,3739.8,No
8329-UTMVM,M,1,No,No,27,Yes,FIBER OPTIC,No,Yes,Yes,One year,Bank transfer (automatic),104.65,2964.0,No
3014-WJKSM,M,0,Yes,No,29,Yes,FIBER OPTIC,No,No,No,Month-to-month,Credit card (automatic),75.3,2263.4,No
3347-YJZZE,M,0,Yes,Yes,29,Yes,DSL,No,No,Yes,Month-to-month,Credit card (automatic),80.1,2211.8,No
1029-QFBEN,M,0,No,No,1,Yes,NO,No internet service,No internet service,No internet service,Month-to-month,Mailed check,19.55,19.55,Yes
